시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
화성시,수련개,Suryeongae,233001303,37393.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1846167,126.8604333
화성시,수면리,Sumyeon-ri,233000054,36331.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.16175,127.0224
화성시,수면리,Sumyeon-ri,233001151,36330.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1618667,127.0222167
화성시,수목원,Arboretum,233000546,37240.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1479833,126.8992
화성시,수목원,Arboretum,233000528,37242.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1484667,126.8991833
화성시,수산중공업,"Soosan Heavy Industries Co., Ltd. ",233000013,36272.0,노변정류장,경기도 화성시,경기도 화성시 양감면,37.1147,126.9910167
화성시,수산중공업,"Soosan Heavy Industries Co., Ltd. ",233001120,36271.0,노변정류장,경기도 화성시,경기도 화성시 양감면,37.1145333,126.99115
화성시,수영오거리.방송통신대입구,"Suyeong Ogeori, Korea National Open University ",233000839,36146.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2370333,126.9616833
화성시,수영오거리.방송통신대입구,"Suyeong Ogeori, Korea National Open University ",233000783,36147.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.23695,126.962
화성시,수영오거리.방송통신대입구,"Suyeong Ogeori, Korea National Open University ",233000593,36148.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2375167,126.9625167
화성시,수영오거리.방송통신대입구,"Suyeong Ogeori, Korea National Open University ",233000001,2051.0,노변정류장,경기도 화성시,경기도 수원시 권선구 오목천동,37.2377167,126.9624
화성시,수영오거리.신창아파트입구,"Suyeong Ogeori, Sinchang Apartment ",233001867,37908.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2374,126.9611167
