ars,emd_cd,sttn_nm
36501,4159711500,리베라CC.헤리엇
36502,4159711500,헤리엇.리베라CC
36503,4159710700,상록골프장.신나는교회
36504,4159710700,신나는교회.상록골프장
36505,4159710700,만의사.마을회관
36506,4159125621,남양아이파크
36507,4159125621,화성시청후문
36509,4159136024,송산교차로
36510,4159125621,화성시청후문
36511,4159710500,호반베르디움.롯데캐슬
36512,4159510500,신영통현대타운.두산위브
36513,4159710600,한백초중교
36514,4159710600,한백초중교
36515,4159710500,반도유보라.센트럴푸르지오
36520,4159125630,수화1리
36522,4159125630,수화리
36534,4159125632,신외리
36535,4159125632,신외리
36536,4159125633,문호1리.당너머마을
36538,4159125633,문호1리
36540,4159125633,문호리
36544,4159125633,문호2리입구
36550,4159125634,시1리
36555,4159125635,원천리
36558,4159125629,송림2리.잔다리
36559,4159125629,송림2리.잔다리
36560,4159125621,원천리입구
36562,4159131023,송정1리
36564,4159131023,송정리.큰말
36565,4159131023,송정1리마을회관
36566,4159131023,송정리
36567,4159131023,송정1리
36568,4159333038,제이마트앞
36578,4159333023,정남YBM연수원
36579,4159333023,정남YBM연수원
36580,4159125030,매향2리입구
36581,4159125030,매향2리입구
36582,4159125029,농장축산
36583,4159125030,인제카센터
36584,4159333034,경찰특공대
36585,4159325021,신수리
36586,4159325021,상2리입구
36587,4159333033,음양1길
36589,4159125030,매향리복지회관
36590,4159125631,장전교차로
36591,4159510500,신동탄롯데캐슬
36595,4159325022,봉담자이프라이드시티
36596,4159325022,힐스테이트봉담프라이드시티
36597,4159325022,힐스테이트봉담프라이드시티
36598,4159325022,봉담자이프라이드시티
36599,4159510200,서해스카이팰리스1단지.서영더엘3차
36602,4159510200,병점행복주택
36603,4159510200,유앤아이.화성청소년수련관
36604,4159325021,신수리
36605,4159125339,화성시남부노인복지관입구
36607,4159510500,반월체육센터
36608,4159325023,신창아파트
36611,4159125032,조암하나로마트
36612,4159125032,조암하나로마트
36615,4159510500,현대타운4단지입구
36616,4159510200,우남퍼스트빌.V타운2
36617,4159125031,화산5리
36618,4159135029,화산5리
36621,4159510200,우남퍼스트빌v2타운2
36622,4159333023,보통3리입구
36623,4159510200,주공1단지
36624,4159125322,발안천교
36625,4159125322,발안천교
36626,4159125341,화성고교차로
36627,4159125341,화성고교차로
36628,4159125322,발안1리경로당
36629,4159125322,발안1리경로당
36631,4159125328,상두1리.뒷말
36632,4159125338,도이2리마을입구
36634,4159325032,갈담
36635,4159325032,기산
36639,4159125621,남양현대2차
36646,4159333023,보통3리입구
36651,4159125027,배진개
36652,4159131021,화성직업훈련교정시설
36653,4159125341,(임시)장짐교차로
36654,4159710500,우남퍼스트빌.예미지시그너스(좌회전전용)
36655,4159133030,고개재
36656,4159125027,배진개
36657,4159132034,육일2리.창말
36658,4159132026,복우물
36659,4159332024,남전리
36660,4159510900,우미린센트포레1단지
36662,4159325025,신일해피트리2차아파트
36663,4159325025,홍익대.홍익디자인고
36664,4159710200,다은마을(중)
36665,4159332026,쌍학1리
36666,4159710200,메타폴리스(중)
