node_id,ars_no,name,lon,lat,in_hwaseong
GGB201000583,2976,곡정고.수원아이파크시티7단지아파트,127.0211,37.244083,0
GGB201000584,2977,곡정고.수원아이파크시티7단지아파트,127.021383,37.244083,0
GGB201000587,2980,수원역환승센터(1승강장),126.999033,37.2656,0
GGB201000588,2981,수원역환승센터(2승강장),126.999183,37.265367,0
GGB201000209,2266,평생교육학습관.남수원중학교.온수골,127.034033,37.250967,0
GGB201000210,2267,평생교육학습관.남수원중학교,127.03495,37.25175,0
GGB201000211,2265,우남아파트,127.033117,37.247733,0
GGB201000217,2093,탑동우방아파트,126.971183,37.268783,0
GGB201000218,2095,탑동우방아파트,126.971583,37.268683,0
GGB201000229,2076,농수산물유통센터,126.968883,37.2829,0
GGB201000233,2240,한솔아파트.한림도서관,127.025117,37.23625,0
GGB201000237,2241,한솔아파트.한림도서관,127.026183,37.236517,0
GGB201000238,2229,곡반정동차고지,127.0226,37.234233,0
GGB201000244,2002,호매실역서희스타힐스.금곡LG2단지,126.938117,37.273083,0
GGB201000245,2004,와이씨티6단지.금곡LG1단지,126.938717,37.269967,0
GGB201000251,2087,구운동주민센터.서수원도서관,126.970183,37.2744,0
GGB201000252,2099,탑동초등학교.삼성아파트,126.973967,37.275317,0
GGB201000253,2112,구운중학교,126.977167,37.275917,0
GGB201000260,2069,국립축산과학원,126.966267,37.236117,0
GGB201000268,2291,곡반중학교,127.0341,37.246117,0
GGB201000272,2304,서호노인복지관.구운공원,126.976317,37.2791,0
GGB201000298,2391,서호노인복지관.구운공원,126.976583,37.27935,0
GGB201000322,2836,금곡동강남아파트,126.954417,37.279317,0
GGB201000326,2835,오현초등학교,126.968117,37.245483,0
GGB201000327,2839,오현초등학교,126.968217,37.245767,0
GGB201000336,2832,공구유통타운.중앙자동차매매단지,126.997067,37.257833,0
GGB201000341,2842,고색동입구,126.990117,37.25325,0
GGB201000349,2846,우림.대한아파트,126.977933,37.24585,0
GGB201000350,2848,우림.대한아파트,126.977783,37.247333,0
GGB201000351,2850,국립농업박물관.서둔동행정복지센터,126.981733,37.274867,0
GGB201000352,2851,들바람공원,126.977817,37.2409,0
GGB201000353,2853,들바람공원,126.97765,37.241117,0
GGB201000355,2865,수원델타플렉스육교앞,126.97905,37.243483,0
GGB201000356,2884,미영아파트,127.013567,37.247333,0
GGB201000357,2861,수원은혜교회.한양수자인파크원아파트,126.95395,37.265983,0
GGB201000358,2862,한양수자인파크원아파트.금호초등학교,126.952683,37.26595,0
GGB202000046,3141,우만동선경아파트,127.03985,37.276217,0
GGB202000047,3133,팔달문,127.016217,37.27735,0
GGB202000048,3138,못골.미나리광.지동시장,127.021417,37.2754,0
GGB202000049,3118,인계동동문굿모닝힐아파트,127.039017,37.276117,0
GGB202000050,3070,성빈센트병원,127.026083,37.276333,0
GGB202000051,3135,못골.미나리광.지동시장,127.022417,37.275283,0
GGB202000052,3137,녹산문고앞,127.018067,37.275083,0
GGB202000053,3088,우만동4단지,127.030883,37.292217,0
GGB202000055,3066,창룡문.연무대,127.024183,37.287217,0
GGB202000057,3059,팔달구청.수원화성박물관,127.018833,37.281717,0
GGB202000058,3060,팔달구청.수원화성박물관,127.018933,37.281983,0
GGB202000059,3063,수원미디어센터,127.021733,37.284167,0
GGB202000060,3067,창룡문.연무대,127.024283,37.288117,0
GGB202000073,3132,아주대입구.우리은행,127.041317,37.275767,0
GGB202000074,3112,임광아파트.야외음악당,127.036983,37.257617,0
GGB202000075,3116,경기아트센터.매탄위브하늘채,127.038883,37.262133,0
GGB202000076,3120,효원공원.자유총연맹,127.039767,37.264167,0
GGB202000081,3062,매향동,127.020817,37.282417,0
GGB202000082,3147,한국전력경기사업본부.한라시그마팰리스,127.028667,37.277817,0
GGB202000087,3168,수원미디어센터,127.022617,37.284967,0
GGB202000088,3171,수원역.지하상가13번출구,127.000083,37.267967,0
GGB202000105,3196,수원역6번출구.AK플라자,127.00145,37.264917,0
GGB202000106,3195,수원역7번출구.AK플라자,127.000883,37.267367,0
GGB202000109,3198,화서문로터리,127.007183,37.28425,0
GGB202000201,3030,병무청입구.한국소방안전원경기지부,127.00385,37.279417,0
GGB202000202,3037,화서문로터리,127.006933,37.284667,0
GGB202000203,3033,글로벌청소년드림센터,127.0057,37.282133,0
GGB202000204,3034,글로벌청소년드림센터,127.006017,37.28215,0
GGB202000205,3031,병무청입구.한국소방안전원경기지부,127.0046,37.280083,0
GGB202000206,3049,가족여성회관.이춘택병원.수원농협,127.014217,37.271533,0
GGB202000208,3015,수원역4번출구.노보텔수원,126.999567,37.268083,0
GGB202000211,3026,고등동사거리.고등동행정복지센터.수원역푸르지오자이,127.002283,37.274267,0
GGB202000212,3047,향교.팔달보건소.중앙침례교회,127.0121,37.270617,0
GGB202000213,3039,세무서.신용회복위원회,127.007783,37.268967,0
GGB202000214,3038,세무서.신용회복위원회,127.007017,37.268933,0
GGB202000215,3046,향교.팔달보건소.중앙침례교회,127.011683,37.270717,0
GGB202000216,3140,가족여성회관.이춘택병원.해움미술관.수원농협,127.0151,37.272233,0
GGB202000217,3018,고등동삼거리,127.00105,37.2717,0
GGB202000219,3017,수원역7번출구.AK플라자,127.000917,37.267467,0
GGB202000220,3028,수원여고.농천교회.수원역푸르지오자이,127.00275,37.275917,0
GGB202000221,3029,수원여고.푸르지오자이,127.003117,37.276067,0
GGB202000222,3024,고등동사거리,127.002633,37.274417,0
GGB202000223,3020,고등동구터미널,127.001067,37.271217,0
GGB202000224,3164,매산시장,127.003367,37.2673,0
GGB202000225,3023,수원역10번출구.역전시장,127.001817,37.265083,0
GGB202000230,3144,장안문.수원전통문화관,127.015367,37.28675,0
GGB202000231,3050,팔달구청.화성행궁.수원성지,127.016333,37.28375,0
GGB202000245,3152,율현중학교.녹색교통회관.꽃뫼버들코오롱아파트,126.980683,37.285817,0
GGB202000248,3058,화성행궁.여민각,127.017333,37.2819,0
GGB202000251,3156,꽃뫼대우아파트,126.985433,37.286183,0
GGB202000252,3139,화성행궁,127.015817,37.284267,0
GGB202000253,3134,수원전통문화관.장안동,127.0151,37.286583,0
GGB202000254,3157,현대모닝아파트,126.984817,37.286467,0
GGB202000255,3158,율현중학교.녹색교통회관.꽃뫼버들코오롱아파트,126.980767,37.285583,0
GGB203000001,1257,경기남부경찰청.봉녕사입구,127.034217,37.2936,0
GGB203000004,4153,청명대우아파트,127.075467,37.260633,0
GGB203000008,4065,잠원초등학교,127.053633,37.2393,0
GGB203000016,4193,잠원초등학교,127.052933,37.239067,0
GGB203000018,4132,영통역7번출구.영덕고등학교,127.0697,37.2525,0
GGB203000020,4052,광교중흥S클래스,127.059133,37.281167,0
GGB203000023,4046,삼성전자중앙문,127.048667,37.259383,0
GGB203000028,4045,삼성전자중앙문,127.048083,37.259233,0
GGB203000031,4392,매원초등학교.광교아이파크아파트,127.060167,37.274483,0
GGB203000032,4393,매원초등학교.광교아이파크아파트,127.059983,37.27455,0
GGB203000034,4008,경기대수원캠퍼스후문,127.041917,37.29775,0
GGB203000035,4184,경기대수원캠퍼스후문,127.041767,37.297833,0
GGB203000041,4185,차세대융합기술연구원.푸르지오월드마크,127.04785,37.2934,0
GGB203000042,4186,푸르지오월드마크.차세대융합기술연구원,127.047417,37.292383,0
GGB203000045,4175,광교역사공원.광교카페거리,127.054417,37.295233,0
GGB203000046,4174,수원광교박물관.광교카페거리,127.051167,37.29475,0
GGB203000050,4189,지역난방공사.신나무실쌍용아파트,127.066167,37.256583,0
GGB203000051,4062,광교중흥S클래스,127.059367,37.281133,0
GGB203000052,4190,지역난방공사.신나무실쌍용아파트,127.065917,37.256433,0
GGB203000056,4029,매탄2동주민센터,127.045833,37.272317,0
GGB203000057,4026,매탄시장입구,127.045583,37.2727,0
GGB203000061,4112,영흥수목원입구.영흥숲푸르지오파크비엔아파트입구,127.067517,37.259367,0
GGB203000062,4171,연화장,127.08315,37.290867,0
GGB203000063,4007,삼성1차아파트,127.041017,37.266017,0
GGB203000065,4131,극동.풍림아파트,127.068883,37.2493,0
GGB203000066,4237,아주대.아주대학교병원,127.043917,37.2787,0
GGB203000067,4238,아주대학교입구,127.044083,37.275933,0
GGB203000068,4042,구법원사거리,127.047183,37.27395,0
GGB203000069,4056,KT동수원지사,127.0511,37.273583,0
GGB203000070,4183,영통경찰서.성일아파트,127.055433,37.272517,0
GGB203000071,4087,광교호수공원입구.원천교사거리,127.0596,37.270933,0
GGB203000072,4108,원천레이크파크아파트,127.06295,37.269733,0
