key,stop_id,ars,name,lon,lat,grid_id,region,board_day,board_day_we,alight_day,board_imputed,n_routes,freq_imputed,freq_am,freq_day,freq_pm,freq_night
233003182,41590-55714,55714,청호인재개발원,126.9119,37.161483,다사4707,팔탄면,0.69,0.59,0.4,0,5,0,2.0,4.8,2.0,0.0
233003183,41590-55715,55715,청호인재개발원,126.911933,37.1616,다사4707,팔탄면,1.07,0.0,1.81,0,5,0,2.0,4.8,2.0,0.0
233003184,41590-55723,55723,신미주SK뷰,127.052317,37.21535,다사6013,진안동,16.15,6.44,38.16,0,2,0,6.0,13.053,6.0,0.053
233003185,41590-37810,37810,상신2리입구,126.9024,37.09855,다사4600,향남읍,36.11,16.18,33.65,0,4,0,10.213,41.173,10.293,2.278
233003186,41590-37760,37760,우미제일.전하리교회,127.079383,37.212133,다사6212,동탄1동,290.22,183.88,648.14,0,22,0,152.455,341.125,152.455,22.187
233531490,,,상신2리입구,126.902317,37.09865,다사4600,향남읍,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233531550,,,(임시)서희스타힐스4차,126.8333,37.1913,다사4010,남양읍,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233531630,,,기배동주민센터,126.983967,37.223867,다사5414,기배동,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233531820,,,기배동주민센터,126.984033,37.223683,다사5413,기배동,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233532650,,,배양1동,126.9977,37.226783,다사5513,기배동,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233538020,,,소망의동산,126.950667,37.195517,다사5110,정남면,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233539990,,,사강3리마을회관앞,126.724717,37.220317,다사3113,송산면,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233540000,,,사강3리마을회관앞,126.72475,37.220133,다사3113,송산면,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233540130,,,(임시)동탄숨마데시앙,127.134133,37.18185,다사6709,동탄9동,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
