grid_id,lon,lat,x_5179,y_5179,region_code,region,region_kind,pop,elderly,elderly_ratio,households,houses,workers,a0009,a1014,a1519,a2024,a2529,a3034,a3539,a4044,a4549,a5054,a5559,a6064,a6569,a70p
다사6308,127.08884,37.17455,963500.0,1908500.0,31240700,동탄6동,동,182.0,5.0,0.0275,75.0,0,6467.0,0,0,0,13.0,39.0,49.0,35.0,23.0,8.0,5.0,13.0,5.0,5.0,0.0
다사6309,127.08879,37.18356,963500.0,1909500.0,31240700,동탄6동,동,5050.0,268.0,0.0531,2281.0,1668.0,2978.0,512.0,296.0,220.0,264.0,489.0,648.0,553.0,575.0,448.0,361.0,238.0,179.0,115.0,153.0
다사6310,127.08874,37.19258,963500.0,1910500.0,31240700,동탄6동,동,9365.0,449.0,0.0479,3171.0,2939.0,1250.0,1365.0,816.0,565.0,399.0,367.0,604.0,941.0,1239.0,1039.0,786.0,490.0,304.0,210.0,239.0
다사6311,127.08869,37.20159,963500.0,1911500.0,31240700,동탄6동,동,8976.0,352.0,0.0392,4047.0,2348.0,3032.0,958.0,570.0,435.0,379.0,1009.0,1134.0,833.0,1024.0,754.0,722.0,498.0,309.0,176.0,176.0
다사6312,127.08864,37.2106,963500.0,1912500.0,31240650,동탄5동,동,4060.0,178.0,0.0438,1798.0,1288.0,13906.0,548.0,248.0,130.0,128.0,390.0,523.0,531.0,552.0,323.0,241.0,155.0,114.0,100.0,78.0
다사6406,127.1002,37.15656,964500.0,1906500.0,31240710,동탄8동,동,1151.0,118.0,0.1025,560.0,492.0,1668.0,115.0,30.0,36.0,28.0,79.0,180.0,175.0,127.0,86.0,48.0,64.0,48.0,74.0,44.0
다사6407,127.10015,37.16557,964500.0,1907500.0,31240691,동탄7동,동,12808.0,525.0,0.041,4944.0,4300.0,2484.0,2513.0,827.0,451.0,297.0,667.0,1212.0,1963.0,2082.0,1041.0,575.0,341.0,313.0,226.0,299.0
다사6408,127.1001,37.17459,964500.0,1908500.0,31240691,동탄7동,동,9072.0,537.0,0.0592,3155.0,3155.0,1936.0,1206.0,851.0,520.0,326.0,356.0,699.0,881.0,1286.0,922.0,644.0,493.0,355.0,250.0,287.0
다사6409,127.10005,37.1836,964500.0,1909500.0,31240700,동탄6동,동,2132.0,193.0,0.0905,826.0,680.0,628.0,247.0,114.0,73.0,111.0,138.0,240.0,227.0,243.0,159.0,130.0,145.0,115.0,99.0,94.0
다사6410,127.10001,37.19261,964500.0,1910500.0,31240640,동탄4동,동,7519.0,349.0,0.0464,2636.0,2188.0,1837.0,742.0,561.0,612.0,415.0,460.0,491.0,569.0,722.0,867.0,875.0,531.0,331.0,171.0,178.0
다사6411,127.09996,37.20163,964500.0,1911500.0,31240640,동탄4동,동,20510.0,714.0,0.0348,8147.0,5519.0,6414.0,2081.0,1743.0,1428.0,1086.0,1980.0,1645.0,1681.0,2160.0,2231.0,1956.0,1175.0,626.0,323.0,391.0
다사6412,127.09991,37.21064,964500.0,1912500.0,31240650,동탄5동,동,8765.0,534.0,0.0609,4140.0,3755.0,19251.0,834.0,458.0,370.0,289.0,873.0,1394.0,1030.0,843.0,750.0,647.0,444.0,300.0,193.0,341.0
다사6505,127.1115,37.14758,965500.0,1905500.0,31240710,동탄8동,동,8.0,0.0,0.0,8.0,8.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,5.0,0,0.0
다사6506,127.11146,37.1566,965500.0,1906500.0,31240710,동탄8동,동,7097.0,473.0,0.0666,2554.0,2435.0,1431.0,1009.0,583.0,371.0,191.0,311.0,654.0,789.0,943.0,682.0,445.0,326.0,324.0,238.0,235.0
다사6507,127.11141,37.16561,965500.0,1907500.0,31240710,동탄8동,동,18345.0,961.0,0.0524,6575.0,6339.0,3588.0,2811.0,1376.0,943.0,558.0,809.0,1897.0,2116.0,2370.0,1736.0,1244.0,872.0,654.0,502.0,459.0
다사6508,127.11137,37.17462,965500.0,1908500.0,31240691,동탄7동,동,16539.0,851.0,0.0515,5495.0,5192.0,2998.0,2201.0,1711.0,1144.0,608.0,622.0,928.0,1468.0,2191.0,1828.0,1335.0,994.0,657.0,430.0,421.0
다사6509,127.11132,37.18364,965500.0,1909500.0,31240700,동탄6동,동,7770.0,563.0,0.0725,2712.0,2719.0,865.0,1067.0,609.0,389.0,263.0,312.0,644.0,771.0,1010.0,791.0,523.0,420.0,394.0,244.0,319.0
다사6510,127.11127,37.19265,965500.0,1910500.0,31240640,동탄4동,동,6898.0,437.0,0.0634,2141.0,2141.0,570.0,746.0,660.0,577.0,371.0,290.0,294.0,391.0,790.0,791.0,710.0,478.0,365.0,225.0,212.0
다사6511,127.11123,37.20167,965500.0,1911500.0,31240640,동탄4동,동,19594.0,668.0,0.0341,6319.0,5974.0,4060.0,2752.0,2244.0,1438.0,692.0,625.0,1352.0,1915.0,2859.0,2432.0,1444.0,724.0,458.0,295.0,373.0
다사6512,127.11118,37.21068,965500.0,1912500.0,31240650,동탄5동,동,13038.0,986.0,0.0756,5440.0,4766.0,3667.0,1341.0,1033.0,802.0,549.0,1008.0,1234.0,1091.0,1522.0,1312.0,993.0,640.0,526.0,396.0,590.0
