시군구코드,시군구명,시간코드,외국인구분,남자0009수,남자1014수,남자1519수,남자2024수,남자2529수,남자3034수,남자3539수,남자4044수,남자4549수,남자5054수,남자5559수,남자6064수,남자6569수,여자0009수,여자1014수,여자1519수,여자2024수,여자2529수,여자3034수,여자3539수,여자4044수,여자4549수,여자5054수,여자5559수,여자6064수,여자6569수,연도_월_일
41590,화성시,15,내국인,9759.02,6229.46,7077.4,10971.62,12245.9,11039.52,14850.46,15105.41,16149.57,14709.1,12813.73,8338.97,4211.49,8719.86,5604.54,5827.92,7114.09,8841.51,10517.36,13820.41,11420.06,11596.65,9828.83,8676.27,6567.31,3538.65,20231219
41590,화성시,22,외국인,2.07,64.59,737.05,1491.34,1504.78,1351.08,771.14,407.74,441.09,280.23,225.83,99.14,31.83,6.22,40.09,303.2,412.49,527.66,508.05,359.23,307.34,279.69,242.69,157.63,76.57,24.03,20231226
41590,화성시,11,내국인,8735.96,8171.21,7862.65,10889.79,12680.16,12188.49,15879.66,16729.69,18237.43,15912.79,14121.46,9664.24,4661.88,8188.06,7232.76,5946.16,7550.69,9271.49,10680.4,15159.34,12896.32,11890.94,10315.53,9366.63,7111.43,4186.48,20231229
41590,화성시,5,외국인,2.07,18.09,333.83,753.5,838.47,737.95,552.05,303.37,341.42,290.42,199.29,63.39,42.18,0.0,18.0,119.85,203.34,291.15,297.1,229.35,209.25,220.77,182.87,111.8,46.85,19.67,20231220
41590,화성시,1,외국인,2.07,22.07,356.41,738.93,819.16,726.87,459.71,224.02,205.28,183.67,124.64,46.48,17.87,4.08,13.58,141.27,205.16,283.49,270.03,230.42,157.41,178.4,119.23,89.81,51.71,20.36,20231215
41590,화성시,18,외국인,5.47,77.33,894.29,1899.39,2046.09,1829.08,1278.47,648.5,716.98,505.66,415.33,144.9,45.67,11.63,49.0,444.08,599.49,745.11,804.71,572.27,539.39,464.4,404.96,236.11,108.35,25.96,20231219
41590,화성시,1,외국인,3.93,14.06,357.6,692.65,856.73,741.35,478.76,220.65,244.02,198.75,142.49,64.7,24.08,4.15,11.35,118.47,225.55,326.47,253.51,209.44,183.87,177.99,134.24,92.7,42.16,18.24,20231219
41590,화성시,5,외국인,1.86,16.31,391.77,906.34,987.49,862.66,533.88,318.76,314.42,274.46,197.5,102.1,39.17,4.15,23.6,185.55,252.96,321.82,321.32,225.87,213.43,190.7,131.24,88.62,59.18,13.95,20231223
41590,화성시,13,외국인,11.35,50.02,917.23,2214.32,2279.56,2195.13,1454.88,989.3,1087.52,991.15,628.43,268.58,56.92,11.68,34.02,394.16,589.5,755.1,865.98,687.17,511.09,569.09,472.78,320.31,160.34,46.16,20231209
41590,화성시,2,내국인,3798.99,4513.92,5848.93,6419.8,6885.74,6286.92,7636.41,6886.89,6472.37,4892.2,4058.16,2811.26,1495.7,3547.61,3504.61,4680.5,5559.9,5768.14,5594.42,6950.89,5482.21,5340.0,4325.83,3822.84,2609.21,1502.89,20231231
41590,화성시,18,외국인,7.4,48.45,803.17,1769.87,1832.73,1732.92,1088.09,679.44,680.68,492.86,327.4,138.64,41.49,7.84,26.26,367.57,572.09,707.89,783.89,628.0,498.91,530.6,397.12,231.02,101.24,31.44,20231207
41590,화성시,4,내국인,2629.11,2472.72,3045.04,4584.56,4956.21,4868.02,6239.64,5828.84,5466.59,4512.61,3604.25,2486.98,1300.53,2209.93,2160.62,2555.45,3066.78,3766.61,3917.75,5408.8,4519.57,4215.69,3415.97,3013.85,2088.64,1192.47,20231214
41590,화성시,4,내국인,3752.48,4116.27,4966.35,5873.45,6183.84,5940.46,7242.95,6492.83,6060.71,4742.01,3866.92,2833.41,1409.98,3357.29,3293.07,4461.34,5674.53,5702.75,5273.82,6522.77,5095.25,4943.03,4101.45,3571.78,2662.74,1420.77,20231225
41590,화성시,3,내국인,2736.38,2575.58,2945.56,4439.76,4745.66,4892.43,6056.22,5459.95,4954.94,3957.36,3431.91,2180.7,1223.97,2452.45,2371.66,2866.05,3307.34,3854.3,4039.05,5097.96,4434.51,3806.78,3187.33,2742.46,2027.99,1145.04,20231211
41590,화성시,15,내국인,10281.49,7062.8,6980.38,10218.85,11585.88,10630.88,14217.93,14869.36,15544.93,14212.16,12825.47,8228.05,4203.41,9893.84,6844.49,6152.71,6773.8,8671.71,9865.79,13183.17,10979.07,11113.78,9769.73,8804.71,6341.97,3665.01,20231204
41590,화성시,20,외국인,3.93,57.14,977.68,1919.68,1964.29,1684.0,982.8,577.36,539.88,369.02,281.05,133.87,27.94,9.87,40.82,407.52,503.43,656.35,691.27,577.96,413.08,451.75,336.66,201.21,105.17,27.79,20231227
41590,화성시,5,내국인,3082.19,3014.11,3320.32,5185.1,5706.89,5618.66,7032.61,6661.07,6560.07,5448.83,4465.28,2977.17,1479.29,2617.66,2806.78,3000.56,3904.71,4373.22,4707.37,5586.51,4787.31,4472.54,3996.6,3530.3,2475.34,1458.26,20231209
41590,화성시,8,외국인,5.4,58.24,677.29,1606.2,1608.16,1557.45,1188.62,776.1,702.57,720.13,486.79,213.23,47.21,10.3,28.67,211.61,390.32,538.37,481.26,394.35,367.67,387.6,300.72,210.74,96.06,35.11,20231216
41590,화성시,23,내국인,4710.27,6093.83,6805.65,8077.14,8814.37,8990.32,10755.91,8846.12,8246.98,5982.53,5091.1,3214.99,1706.22,4600.11,4918.32,6085.97,8021.96,8120.43,7662.91,9734.91,7217.64,6816.12,5320.35,4507.46,3306.95,1816.99,20231224
