route_id,seq,station_id,updown,acc_m
208000015,61,208000032,B,24830.0
208000015,62,208000031,B,25080.0
208000015,63,208000030,B,25780.0
208000015,64,209000002,B,26600.0
208000015,65,209000275,B,27010.0
208000015,66,209000177,B,27530.0
208000015,67,209000176,B,28000.0
208000015,68,209000175,B,28490.0
208000015,69,209000068,B,28650.0
208000015,70,209000091,B,29180.0
208000015,71,209000397,B,29320.0
208000015,72,209000090,B,29760.0
208000015,73,209000089,B,30210.0
208000015,74,209000059,B,30430.0
208000015,75,209000174,B,30790.0
208000015,76,209000173,B,31020.0
208000015,77,209000172,B,31520.0
208000015,78,209000171,B,31800.0
208000015,79,209000170,B,31990.0
208000015,80,226000112,B,32840.0
208000015,81,226000111,B,33320.0
208000015,82,226000110,B,33550.0
208000015,83,226000011,B,33980.0
208000015,84,226000010,B,34280.0
208000015,85,226000009,B,34800.0
208000015,86,226000008,B,35120.0
208000015,87,226000007,B,35420.0
208000015,88,226000235,B,35780.0
208000015,89,226000006,B,36040.0
208000015,90,226000005,B,36230.0
208000015,91,226000163,B,36690.0
208000015,92,226000088,B,37040.0
208000015,93,226000087,B,37600.0
208000015,94,226000086,B,37890.0
208000015,95,226000085,B,38210.0
208000015,96,226000084,B,38500.0
208000015,97,226000083,B,38860.0
208000015,98,226000082,B,39180.0
208000015,99,226000081,B,39810.0
208000015,100,226000080,B,40200.0
208000015,101,226000161,B,40370.0
208000015,102,226000159,B,40710.0
208000015,103,226000138,B,41190.0
208000015,104,226000139,B,41830.0
208000015,105,226000074,B,42260.0
208000015,106,226000073,B,42660.0
208000015,107,226000072,B,42790.0
208000015,108,226000071,B,42990.0
208000015,109,226000070,B,43160.0
208000016,1,226000109,F,
208000016,2,226000108,F,260.0
208000016,3,226000107,F,440.0
208000016,4,226000106,F,560.0
208000016,5,226000105,F,970.0
208000016,6,226000104,F,1590.0
208000016,7,226000183,F,1740.0
208000016,8,226000103,F,2080.0
208000016,9,226000102,F,2220.0
208000016,10,226000101,F,2440.0
208000016,11,226000100,F,2680.0
208000016,12,226000099,F,2940.0
208000016,13,226000098,F,3310.0
208000016,14,226000097,F,3960.0
208000016,15,226000096,F,4250.0
208000016,16,226000095,F,4640.0
208000016,17,226000094,F,4890.0
208000016,18,226000093,F,5260.0
208000016,19,226000092,F,5530.0
208000016,20,226000091,F,5980.0
208000016,21,226000090,F,6420.0
208000016,22,226000049,F,6850.0
208000016,23,226000048,F,7120.0
208000016,24,226000192,F,7330.0
208000016,25,226000047,F,7730.0
208000016,26,226000046,F,8200.0
208000016,27,226000124,F,8680.0
208000016,28,209000026,F,9090.0
208000016,29,209000241,F,9550.0
208000016,30,209000079,F,9820.0
208000016,31,209000008,F,9990.0
208000016,32,209000078,F,10430.0
208000016,33,209000226,F,10640.0
208000016,34,225000020,F,11020.0
208000016,35,225000019,F,11180.0
208000016,36,225000018,F,11390.0
208000016,37,208000048,F,11930.0
208000016,38,208000128,F,12640.0
208000016,39,208000286,F,12920.0
208000016,40,208000003,F,13180.0
208000016,41,208000002,F,13560.0
208000016,42,208000001,F,14030.0
208000016,43,208000066,F,14360.0
208000016,44,208000065,F,14740.0
208000016,45,208000064,F,15060.0
