grid_id,period,D,S,zD,zS,mi,quadrant,priority,bin_mi,bin_demand,bin_supply,coverage,freq,pop,workers,elderly_ratio,region,mi_raw,mi_naive,nf,bin_flow,action,region_code,region_kind,d_score,s_score,flow_trips_per_day,nearest_stop_id,nearest_stop_m,lon,lat
다바3799,night,0.172088,0.073663,-0.4909,-0.5805,0.0703,drt,0.0,3,1,1,0.3348,0.0,118.0,49.0,0.4322,우정읍,0.0703,0.0896,0.33536,1,NEW_STOP,31240130,읍,17.21,7.37,29.5,41590-37395,399.1,126.79672,37.09205
다바3891,night,0.0,0.011,-1.1555,-0.8224,-0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,-0.0,-0.3331,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37498,1396.6,126.80863,37.02001
다바3892,night,0.129424,0.011,-0.6557,-0.8224,0.1088,mid,0.0,3,1,0,0.05,0.0,49.0,75.0,0.0,우정읍,0.1088,0.1668,0.23759,1,DRT,31240130,읍,12.94,1.1,12.2,41590-36826,683.8,126.80854,37.02902
다바3893,night,0.224466,0.04609,-0.2886,-0.6869,0.3717,mid,0.0,4,2,1,0.2095,0.0,218.0,278.0,0.0229,우정읍,0.3717,0.3983,0.43075,3,NEW_STOP,31240130,읍,22.45,4.61,54.5,41590-36827,474.3,126.80846,37.03803
다바3894,night,0.240066,0.141717,-0.2284,-0.3177,0.0871,mid,0.0,3,2,2,0.6442,0.0,285.0,309.0,0.2807,우정읍,0.0871,0.0893,0.44479,3,ADD_FREQ,31240130,읍,24.01,14.17,71.2,41590-36913,213.5,126.80838,37.04705
다바3895,night,0.174632,0.073957,-0.4811,-0.5793,0.0779,drt,0.0,3,1,1,0.3362,0.0,93.0,148.0,0.3333,장안면,0.0779,0.0983,0.31275,1,NEW_STOP,31240390,면,17.46,7.4,23.2,41590-36772,398.3,126.8083,37.05606
다바3896,night,0.321904,0.152958,0.0877,-0.2743,0.362,mid,0.0,4,3,2,0.2755,0.599,441.0,126.0,0.1859,장안면,0.362,0.362,0.50871,3,NEW_STOP,31240390,면,32.19,15.3,110.2,41590-37434,434.7,126.80822,37.06507
다바3897,night,0.483013,0.315756,0.7099,0.3544,0.3556,mid,0.0,4,4,3,0.178,3.079,1212.0,210.0,0.1576,장안면,0.3556,0.3556,0.65937,4,NEW_STOP,31240390,면,48.3,31.58,303.0,41590-36617,493.2,126.80814,37.07409
다바3898,night,0.459259,0.220692,0.6182,-0.0127,0.6309,mid,0.0,4,4,3,0.5088,0.738,1408.0,129.0,0.1669,우정읍,0.6309,0.6309,0.67745,4,ADD_FREQ,31240130,읍,45.93,22.07,352.0,41590-37397,294.7,126.80805,37.0831
다바3899,night,0.15866,0.195028,-0.5428,-0.1118,-0.321,mid,0.0,2,1,3,0.7717,0.137,108.0,77.0,0.3426,우정읍,-0.321,-0.4309,0.31632,1,ADD_FREQ,31240130,읍,15.87,19.5,27.0,41590-36989,137.0,126.80797,37.09211
다바3991,night,0.0,0.011,-1.1555,-0.8224,-0.0,mid,0.0,3,0,0,0.05,0.0,0.0,3.0,0.0,장안면,-0.0,-0.3331,0.0,0,DRT,31240390,면,0.0,1.1,0.0,41590-36881,1573.9,126.81987,37.02007
다바3992,night,0.16622,0.011,-0.5136,-0.8224,0.2371,mid,0.0,3,1,0,0.05,0.0,53.0,23.0,0.5849,장안면,0.2371,0.3089,0.27851,1,DRT,31240390,면,16.62,1.1,13.2,41590-36881,575.2,126.81979,37.02908
다바3993,night,0.231611,0.11429,-0.261,-0.4236,0.1548,mid,0.0,3,2,2,0.5195,0.0,178.0,40.0,0.4663,장안면,0.1548,0.1626,0.37883,2,ADD_FREQ,31240390,면,23.16,11.43,44.5,41590-36716,288.3,126.81971,37.0381
다바3994,night,0.208454,0.011,-0.3505,-0.8224,0.4198,drt,0.0,4,2,0,0.05,0.0,208.0,5.0,0.3702,장안면,0.4198,0.472,0.40168,2,DRT,31240390,면,20.85,1.1,52.0,41590-36769,669.9,126.81963,37.04711
다바3995,night,0.178819,0.022293,-0.4649,-0.7788,0.2527,drt,0.0,4,1,1,0.1013,0.0,108.0,238.0,0.2407,장안면,0.2527,0.3139,0.33458,1,DRT,31240390,면,17.88,2.23,27.0,41590-37430,539.2,126.81955,37.05613
다바3996,night,0.222131,0.085067,-0.2976,-0.5364,0.2213,mid,0.0,3,2,2,0.3867,0.0,263.0,179.0,0.3612,장안면,0.2213,0.2388,0.43335,3,NEW_STOP,31240390,면,22.21,8.51,65.8,41590-36915,368.0,126.81947,37.06514
다바3997,night,0.616409,0.647633,1.2251,1.6359,-0.4108,ok,0.0,2,4,4,0.597,12.793,1675.0,277.0,0.1152,장안면,-0.4108,-0.4108,0.70725,4,ADD_FREQ,31240390,면,61.64,64.76,418.8,41590-37524,241.8,126.81938,37.07415
다바3998,night,0.816388,0.807379,1.9975,2.2528,-0.2553,ok,0.0,2,4,4,0.9652,19.582,4856.0,1504.0,0.1606,우정읍,-0.2553,-0.2553,0.861,4,ADD_FREQ,31240130,읍,81.64,80.74,1214.0,41590-36022,20.9,126.8193,37.08317
다바3999,night,0.637002,0.448996,1.3047,0.8689,0.4358,ok,0.0,4,4,4,0.5897,4.067,2653.0,379.0,0.1135,우정읍,0.4358,0.4358,0.77476,4,ADD_FREQ,31240130,읍,63.7,44.9,663.2,41590-36821,246.2,126.81922,37.09218
다바4091,night,0.063461,0.011,-0.9104,-0.8224,-0.0361,mid,0.0,3,0,0,0.05,0.0,8.0,9.0,0.0,장안면,-0.0361,-0.088,0.12692,0,DRT,31240390,면,6.35,1.1,2.0,41590-55148,1726.9,126.83111,37.02013
다바4092,night,0.068353,0.011,-0.8916,-0.8224,-0.0298,mid,0.0,3,0,0,0.05,0.0,13.0,33.0,0.0,장안면,-0.0298,-0.0691,0.13671,0,DRT,31240390,면,6.84,1.1,3.2,41590-55148,950.8,126.83103,37.02915
다바4093,night,0.133871,0.011,-0.6385,-0.8224,0.1227,mid,0.0,3,1,0,0.05,0.0,48.0,5.0,0.6458,장안면,0.1227,0.1839,0.24576,1,DRT,31240390,면,13.39,1.1,12.0,41590-37535,594.6,126.83095,37.03816
다바4094,night,0.130042,0.089137,-0.6533,-0.5207,-0.0868,mid,0.0,3,1,2,0.4052,0.0,50.0,86.0,0.2,장안면,-0.0868,-0.1326,0.25378,1,NEW_STOP,31240390,면,13.0,8.91,12.5,41590-36776,356.9,126.83087,37.04718
다바4095,night,0.14731,0.03135,-0.5866,-0.7439,0.1116,mid,0.0,3,1,1,0.1425,0.0,53.0,42.0,0.5849,장안면,0.1116,0.1573,0.27828,1,DRT,31240390,면,14.73,3.13,13.2,41590-36773,514.5,126.83079,37.05619
다바4096,night,0.169775,0.011,-0.4998,-0.8224,0.2511,drt,0.0,4,1,0,0.05,0.0,107.0,210.0,0.1402,장안면,0.2511,0.3226,0.33285,1,DRT,31240390,면,16.98,1.1,26.8,41590-37514,768.5,126.83071,37.0652
다바4097,night,0.241269,0.1056,-0.2237,-0.4571,0.2283,mid,0.0,3,2,2,0.48,0.0,178.0,125.0,0.3933,장안면,0.2283,0.2334,0.37649,2,NEW_STOP,31240390,면,24.13,10.56,44.5,41590-37129,312.0,126.83063,37.07422
다바4098,night,0.478128,0.473419,0.6911,0.9632,-0.2721,ok,0.0,2,4,4,0.5822,4.785,866.0,556.0,0.1409,장안면,-0.2721,-0.2721,0.60751,4,ADD_FREQ,31240390,면,47.81,47.34,216.5,41590-37125,250.7,126.83055,37.08323
다바4099,night,0.435303,0.753765,0.5257,2.0457,-1.5201,ok,0.0,0,3,4,0.8387,17.054,474.0,172.0,0.211,장안면,-1.5201,-1.5201,0.51949,3,ADD_FREQ,31240390,면,43.53,75.38,118.5,41590-36835,96.8,126.83048,37.09224
다바4191,night,0.024991,0.011,-1.059,-0.8224,-0.053,mid,0.0,3,0,0,0.05,0.0,5.0,3.0,0.0,장안면,-0.053,-0.2366,0.04998,0,DRT,31240390,면,2.5,1.1,1.2,41590-55148,1553.1,126.84235,37.0202
다바4192,night,0.05377,0.011,-0.9479,-0.8224,-0.0462,mid,0.0,3,0,0,0.05,0.0,8.0,10.0,1.25,장안면,-0.0462,-0.1254,0.09138,0,DRT,31240390,면,5.38,1.1,2.0,41590-55148,580.1,126.84227,37.02921
다바4193,night,0.317724,0.159427,0.0716,-0.2493,0.3209,mid,0.0,4,3,2,0.7247,0.0,378.0,103.0,0.4233,장안면,0.3209,0.3209,0.47899,3,ADD_FREQ,31240390,면,31.77,15.94,94.5,41590-36984,165.2,126.84219,37.03822
다바4194,night,0.108164,0.03938,-0.7378,-0.7129,-0.0145,mid,0.0,3,0,1,0.179,0.0,38.0,14.0,0.3947,장안면,-0.0145,-0.0249,0.21633,1,NEW_STOP,31240390,면,10.82,3.94,9.5,41590-36776,492.6,126.84212,37.04724
다바4195,night,0.174302,0.121807,-0.4824,-0.3946,-0.0695,drt,0.0,3,1,2,0.5537,0.0,118.0,61.0,0.5424,장안면,-0.0695,-0.0878,0.34249,1,ADD_FREQ,31240390,면,17.43,12.18,29.5,41590-36942,267.8,126.84204,37.05625
다바4196,night,0.333732,0.114657,0.1334,-0.4222,0.5556,mid,0.0,4,3,2,0.5212,0.0,274.0,364.0,0.3102,장안면,0.5556,0.5556,0.44163,3,ADD_FREQ,31240390,면,33.37,11.47,68.5,41590-37132,287.3,126.84196,37.06527
다바4197,night,0.242093,0.011,-0.2205,-0.8224,0.59,mid,0.0,4,2,0,0.05,0.0,283.0,155.0,0.4276,장안면,0.59,0.6019,0.43933,3,DRT,31240390,면,24.21,1.1,70.8,41590-36909,654.3,126.84188,37.07428
다바4198,night,0.157485,0.027683,-0.5473,-0.758,0.1562,drt,0.0,3,1,1,0.1258,0.0,89.0,265.0,0.1685,장안면,0.1562,0.2107,0.31238,1,DRT,31240390,면,15.75,2.77,22.2,41590-55497,524.5,126.84181,37.08329
다바4199,night,0.25639,0.096079,-0.1653,-0.4939,0.3286,mid,0.0,4,2,2,0.05,0.541,303.0,235.0,0.2145,장안면,0.3286,0.3286,0.45672,3,DRT,31240390,면,25.64,9.61,75.8,41590-37453,751.0,126.84173,37.09231
다바4292,night,0.140047,0.011,-0.6147,-0.8224,0.1427,mid,0.0,3,1,0,0.05,0.0,58.0,18.0,0.2241,장안면,0.1427,0.2078,0.28009,1,DRT,31240390,면,14.0,1.1,14.5,41590-36982,1086.0,126.85351,37.02927
다바4293,night,0.290155,0.07843,-0.0349,-0.5621,0.5272,mid,0.0,4,3,1,0.3565,0.0,358.0,170.0,0.3296,장안면,0.5272,0.5272,0.48098,3,NEW_STOP,31240390,면,29.02,7.84,89.5,41590-36714,386.1,126.85344,37.03829
다바4294,night,0.242426,0.108057,-0.2193,-0.4477,0.2241,mid,0.0,3,2,2,0.4912,0.0,126.0,288.0,0.2937,장안면,0.2241,0.2284,0.3514,2,NEW_STOP,31240390,면,24.24,10.81,31.5,41590-36798,305.3,126.85336,37.0473
다바4295,night,0.246116,0.141863,-0.205,-0.3171,0.1111,mid,0.0,3,2,2,0.6448,0.0,153.0,201.0,0.3595,장안면,0.1111,0.1121,0.36999,2,ADD_FREQ,31240390,면,24.61,14.19,38.2,41590-37823,213.1,126.85329,37.05631
다바4296,night,0.316455,0.193783,0.0667,-0.1166,0.1833,mid,0.0,3,3,3,0.8808,0.0,252.0,980.0,0.1151,장안면,0.1833,0.1833,0.44276,3,ADD_FREQ,31240390,면,31.65,19.38,63.0,41590-37796,71.5,126.85321,37.06533
