순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
143,화성시,화성-수성여객,동탄역5(출근),서동탄역,동탄역(서측),7.0,2,15,15,,07:00,07:30,,,,,,,
144,화성시,화성-수성여객,동탄역5(퇴근),동탄역(동측),서동탄역,6.9,2,20,20,,18:25,19:00,,,,,,,
145,화성시,화성-수성여객,동탄역5(퇴근),동탄역(동측),서동탄역,6.9,2,20,20,,18:25,19:00,,,,,,,
146,화성시,화성-부광여객,동탄역6(출근),봉담읍행정복지센터,동탄역(서측),19.5,3,0,0,,06:25,07:00,,,,,,,
147,화성시,화성-부광여객,동탄역6(퇴근),동탄역(동측),봉담읍행정복지센터(좌회전전용),19.2,3,0,0,,18:30,19:00,,,,,,,
148,화성시,화성-수성여객,동탄역7(출근),신영통현대타운.두산위브,동탄역(서측),15.0,2,0,0,,06:35,07:10,,,,,,,
149,화성시,화성-수성여객,동탄역7(출근),신영통현대타운.두산위브,동탄역(서측),15.0,2,0,0,,06:35,07:10,,,,,,,
150,화성시,화성-수성여객,동탄역7(퇴근),동탄역(동측),신영통현대타운.두산위브,14.8,2,0,0,,18:30,19:00,,,,,,,
151,화성시,화성-수성여객,동탄역7(퇴근),동탄역(동측),신영통현대타운.두산위브,14.8,2,0,0,,18:30,19:00,,,,,,,
152,화성시,화성-산척여객,동탄역8(출근),쎈트럴써밋,동탄역(동측),11.5,3,15,15,,07:15,07:40,,,07:50,08:15,,,
153,화성시,화성-산척여객,동탄역8(퇴근),동탄역(서측),쎈트럴써밋,11.4,3,10,15,,18:35,19:05,,,18:35,19:05,,,
154,화성시,화성-화성도시공사,서해선셔틀,서화성역(셔틀버스전용),초지역4번출구,22.9,2,20,20,20.0,07:20,18:40,07:20,18:40,08:10,19:10,08:10,19:10,
155,화성시,화성-화성도시공사,서해선셔틀,서화성역(셔틀버스전용),초지역4번출구,22.9,2,20,20,20.0,07:20,18:40,07:20,18:40,08:10,19:10,08:10,19:10,
