grid_id,period,D,S,zD,zS,mi,quadrant,priority,bin_mi,bin_demand,bin_supply,coverage,freq,pop,workers,elderly_ratio,region,mi_raw,mi_naive,nf,bin_flow,action,region_code,region_kind,d_score,s_score,flow_trips_per_day,nearest_stop_id,nearest_stop_m,lon,lat
다사3507,am,0.156849,0.011,-0.6022,-1.214,0.4277,mid,0.0,4,1,0,0.05,0.0,103.0,886.0,0.0,마도면,0.4277,0.6118,0.3137,1,DRT,31240350,면,15.68,1.1,25.8,41590-37668,897.0,126.77353,37.16402
다사3508,am,0.532917,0.703309,0.864,1.18,-0.316,ok,0.0,2,4,4,0.8575,23.958,528.0,2260.0,0.0492,마도면,-0.316,-0.316,0.5488,3,ADD_FREQ,31240350,면,53.29,70.33,132.0,41590-55426,85.5,126.77344,37.17303
다사3509,am,0.214312,0.452208,-0.3782,0.3117,-0.5907,over,0.0,2,2,3,0.05,14.769,209.0,597.0,0.1722,마도면,-0.5907,-0.6899,0.42711,2,DRT,31240350,면,21.43,45.22,52.2,41590-55264,597.7,126.77336,37.18205
다사3510,am,0.22282,0.011,-0.345,-1.214,0.7632,mid,0.0,5,2,0,0.05,0.0,239.0,884.0,0.1088,마도면,0.7632,0.869,0.44564,3,DRT,31240350,면,22.28,1.1,59.8,41590-55265,849.1,126.77327,37.19106
다사3511,am,0.388571,0.713511,0.3012,1.2153,-0.9141,ok,0.0,1,3,4,0.9323,23.0,794.0,248.0,0.2103,마도면,-0.9141,-0.9141,0.61288,4,ADD_FREQ,31240350,면,38.86,71.35,198.5,41590-60066,40.6,126.77318,37.20007
다사3512,am,0.670204,0.822332,1.3992,1.5916,-0.1924,ok,0.0,3,4,4,0.5782,76.121,1207.0,683.0,0.1558,마도면,-0.1924,-0.1924,0.67011,4,ADD_FREQ,31240350,면,67.02,82.23,301.8,41590-37105,253.1,126.7731,37.20909
다사3513,am,0.134792,0.011,-0.6882,-1.214,0.3331,mid,0.0,4,1,0,0.05,0.0,58.0,313.0,0.0,송산면,0.3331,0.5258,0.26958,1,DRT,31240360,면,13.48,1.1,14.5,41590-36609,676.0,126.77301,37.2181
다사3514,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,339.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-37560,1075.8,126.77292,37.22711
다사3515,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-37560,1496.9,126.77284,37.23613
다사3516,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-60095,1364.6,126.77275,37.24514
다사3517,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-60095,1491.9,126.77266,37.25415
다사3518,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-60095,2142.3,126.77258,37.26317
다사3519,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-36538,2924.5,126.77249,37.27218
다사3600,am,0.308744,0.629376,-0.01,0.9244,-0.9344,mid,0.0,1,3,4,0.8577,14.718,384.0,28.0,0.3594,우정읍,-0.9344,-0.9344,0.51538,3,ADD_FREQ,31240130,읍,30.87,62.94,96.0,41590-36889,85.4,126.78538,37.10099
다사3601,am,0.25346,0.30133,-0.2256,-0.21,-0.0148,mid,0.0,3,2,2,0.1023,4.714,288.0,24.0,0.2951,우정읍,-0.0148,-0.0155,0.47393,3,DRT,31240130,읍,25.35,30.13,72.0,41590-37829,538.6,126.7853,37.11001
다사3602,am,0.332218,0.626087,0.0815,0.913,-0.8315,mid,0.0,1,3,4,0.8383,14.813,418.0,88.0,0.299,우정읍,-0.8315,-0.8315,0.52397,3,ADD_FREQ,31240130,읍,33.22,62.61,104.5,41590-37451,97.0,126.78521,37.11902
다사3603,am,0.174697,0.011,-0.5326,-1.214,0.5109,drt,0.0,4,1,0,0.05,0.0,113.0,141.0,0.3451,우정읍,0.5109,0.6814,0.34939,1,DRT,31240130,읍,17.47,1.1,28.2,41590-36817,915.1,126.78513,37.12804
다사3604,am,0.043271,0.011,-1.045,-1.214,0.0511,mid,0.0,3,0,0,0.05,0.0,8.0,43.0,0.0,우정읍,0.0511,0.169,0.08654,0,DRT,31240130,읍,4.33,1.1,2.0,41590-36862,1405.0,126.78504,37.13705
다사3606,am,0.1719,0.011,-0.5435,-1.214,0.4974,drt,0.0,4,1,0,0.05,0.0,98.0,9.0,0.449,남양읍,0.4974,0.6705,0.3438,1,DRT,31240150,읍,17.19,1.1,24.5,41590-60017,933.3,126.78488,37.15508
다사3608,am,0.308724,0.430985,-0.0101,0.2383,-0.2484,mid,0.0,3,3,2,0.217,9.976,248.0,854.0,0.1048,마도면,-0.2484,-0.2484,0.44254,3,NEW_STOP,31240350,면,30.87,43.1,62.0,41590-37552,469.8,126.78471,37.1731
다사3609,am,0.559553,0.582931,0.9678,0.7637,0.2041,ok,0.0,3,4,3,0.7588,12.469,834.0,1839.0,0.0923,마도면,0.2041,0.2041,0.61675,4,ADD_FREQ,31240350,면,55.96,58.29,208.5,41590-37752,144.7,126.78462,37.18212
다사3610,am,0.313608,0.351131,0.009,-0.0378,0.0468,mid,0.0,3,3,2,0.083,7.011,323.0,723.0,0.1703,마도면,0.0468,0.0468,0.48471,3,DRT,31240350,면,31.36,35.11,80.8,41590-37118,550.2,126.78454,37.19113
다사3611,am,0.4203,0.565553,0.4249,0.7037,-0.2787,ok,0.0,2,3,3,0.2653,22.818,379.0,679.0,0.3351,마도면,-0.2787,-0.2787,0.50889,3,NEW_STOP,31240350,면,42.03,56.56,94.8,41590-37114,440.8,126.78445,37.20014
다사3612,am,0.545308,0.655204,0.9123,1.0137,-0.1014,ok,0.0,3,4,4,0.3062,38.437,825.0,429.0,0.2,마도면,-0.1014,-0.1014,0.61657,4,NEW_STOP,31240350,면,54.53,65.52,206.2,41590-37109,416.3,126.78437,37.20916
다사3613,am,0.272081,0.679061,-0.153,1.0962,-1.2491,mid,0.0,0,2,4,0.597,29.688,284.0,359.0,0.2993,마도면,-1.2491,-1.2491,0.46255,3,ADD_FREQ,31240350,면,27.21,67.91,71.0,41590-36567,241.8,126.78428,37.21817
다사3614,am,0.142512,0.011,-0.6581,-1.214,0.3651,mid,0.0,4,1,0,0.05,0.0,53.0,33.0,0.434,마도면,0.3651,0.5559,0.28502,1,DRT,31240350,면,14.25,1.1,13.2,41590-36564,859.0,126.78419,37.22718
다사3615,am,0.022636,0.011,-1.1255,-1.214,0.0176,mid,0.0,3,0,0,0.05,0.0,5.0,0.0,0.0,남양읍,0.0176,0.0885,0.04527,0,DRT,31240150,읍,2.26,1.1,1.2,41590-60095,1357.7,126.78411,37.2362
다사3616,am,0.059587,0.248621,-0.9814,-0.3923,-0.2195,mid,0.0,3,0,2,0.2392,2.405,8.0,0.0,1.25,남양읍,-0.2195,-0.5891,0.11874,0,NEW_STOP,31240150,읍,5.96,24.86,2.0,41590-60095,456.5,126.78402,37.24521
다사3617,am,0.0,0.054074,-1.2137,-1.065,-0.0,mid,0.0,3,0,1,0.05,0.309,0.0,0.0,0.0,송산면,-0.0,-0.1487,0.0,0,DRT,31240360,면,0.0,5.41,0.0,41590-60095,755.8,126.78394,37.25422
다사3618,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-36540,1634.9,126.78385,37.26324
다사3619,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-36538,2021.5,126.78377,37.27225
